policy,label,start_s,end_s,cg_numa_hint_faults_delta,cg_numa_pte_updates_delta,cg_pgpromote_success_delta,cg_pgdemote_direct_delta,cg_pgdemote_kswapd_delta,pte_updates_gib_delta,promote_gib_delta,demote_gib_delta
on,on,40.302,45.323,931340,816191,438129,875584,0,3.1135215759277344,1.6713294982910156,3.340087890625
on,on,45.323,50.343,0,204473,0,0,0,0.7800025939941406,0.0,0.0
on,on,50.343,55.368,0,0,0,0,0,0.0,0.0,0.0
on,on,55.368,60.392,3756934,368737,53051,0,0,1.4066200256347656,0.20237350463867188,0.0
on,on,60.392,65.42,3819696,3102311,562607,182490,0,11.83437728881836,2.1461753845214844,0.6961441040039062
on,on,65.42,70.449,2483399,1964435,247259,420736,0,7.493724822998047,0.9432182312011719,1.60498046875
on,on,70.449,75.477,820724,1353639,378627,211947,0,5.163722991943359,1.4443473815917969,0.8085136413574219
on,on,75.477,80.506,1468753,1652141,348076,343296,0,6.302417755126953,1.3278045654296875,1.3095703125
on,on,80.506,85.534,1830976,1661005,361411,365629,0,6.336231231689453,1.3786735534667969,1.3947639465332031
on,on,85.534,90.565,1065005,1046299,174306,328921,0,3.991313934326172,0.6649246215820312,1.2547340393066406
on,on,90.565,95.591,141489,717621,128627,92166,0,2.737506866455078,0.4906730651855469,0.35158538818359375
on,on,95.591,100.617,817914,781341,345654,220082,0,2.980579376220703,1.3185653686523438,0.8395462036132812
on,on,100.617,105.64,821958,872808,302151,302971,0,3.329498291015625,1.1526145935058594,1.1557426452636719
on,on,105.64,110.671,1143599,1078279,225111,229785,0,4.113307952880859,0.8587303161621094,0.8765602111816406
on,on,110.671,115.735,966977,932998,219609,214937,0,3.5591049194335938,0.8377418518066406,0.8199195861816406
on,on,115.735,120.76,803852,547707,116777,167065,0,2.089336395263672,0.4454689025878906,0.6373023986816406
on,on,120.76,125.79,347458,1002942,315868,891067,0,3.8259201049804688,1.2049407958984375,3.399150848388672
on,on,125.79,130.818,0,1625167,0,0,0,6.199520111083984,0.0,0.0
on,on,130.818,135.852,1064386,2075787,158107,0,0,7.918498992919922,0.6031303405761719,0.0
on,on,135.852,140.879,260551,654127,236857,0,0,2.4952964782714844,0.9035377502441406,0.0
on,on,140.879,145.905,709926,731237,562652,690048,0,2.789447784423828,2.1463470458984375,2.63232421875
on,on,145.905,150.935,1048576,375969,0,0,0,1.4342079162597656,0.0,0.0
on,on,150.935,155.971,0,111583,0,0,0,0.4256553649902344,0.0,0.0
on,on,155.971,161.011,0,93521,0,0,0,0.3567543029785156,0.0,0.0
on,on,161.011,166.036,1459599,1065562,709682,395392,0,4.064796447753906,2.7072219848632812,1.50830078125
on,on,166.036,171.06,0,509702,0,297152,0,1.9443588256835938,0.0,1.133544921875
on,on,171.06,176.083,0,4,0,0,0,1.52587890625e-05,0.0,0.0
on,on,176.083,181.111,5337265,526676,156593,0,0,2.0091094970703125,0.5973548889160156,0.0
on,on,181.111,186.135,2025401,2552510,393122,206336,0,9.737052917480469,1.4996414184570312,0.787109375
on,on,186.135,191.163,1827193,1615774,180146,311616,0,6.163688659667969,0.6872024536132812,1.188720703125
on,on,191.163,196.189,271129,717912,200820,178880,0,2.738616943359375,0.7660675048828125,0.682373046875
on,on,196.189,201.215,1203641,1316644,323516,224448,0,5.0225982666015625,1.2341156005859375,0.856201171875
on,on,201.215,206.268,1095200,1139845,271687,271355,0,4.348163604736328,1.0364036560058594,1.0351371765136719
on,on,206.268,211.294,1581398,1396493,185452,173466,0,5.327198028564453,0.7074432373046875,0.6617202758789062
