case,label,policy,period_ms,fast_scan,time_s,mops_s
p500_fast,500ms fast,on,500,1,40.0,329.515008
p500_fast,500ms fast,on,500,1,41.0,235.9296
p500_fast,500ms fast,on,500,1,42.001,332.59028971028977
p500_fast,500ms fast,on,500,1,43.0,221.471007007007
p500_fast,500ms fast,on,500,1,44.0,362.545152
p500_fast,500ms fast,on,500,1,45.0,319.553536
p500_fast,500ms fast,on,500,1,46.0,227.540992
p500_fast,500ms fast,on,500,1,47.006,361.6857574552684
p500_fast,500ms fast,on,500,1,48.0,310.4059235412475
p500_fast,500ms fast,on,500,1,49.0,347.3408
p500_fast,500ms fast,on,500,1,50.0,389.021696
p500_fast,500ms fast,on,500,1,51.0,243.531776
p500_fast,500ms fast,on,500,1,52.0,380.633088
p500_fast,500ms fast,on,500,1,53.0,215.482368
p500_fast,500ms fast,on,500,1,54.0,305.135616
p500_fast,500ms fast,on,500,1,55.0,322.43712
p500_fast,500ms fast,on,500,1,56.0,223.608832
p500_fast,500ms fast,on,500,1,57.001,317.40112687312694
p500_fast,500ms fast,on,500,1,58.0,171.8761961961962
p500_fast,500ms fast,on,500,1,59.0,174.587904
p500_fast,500ms fast,on,500,1,60.0,170.131456
p500_fast,500ms fast,on,500,1,61.0,141.819904
p500_fast,500ms fast,on,500,1,62.0,169.345024
p500_fast,500ms fast,on,500,1,63.0,255.5904
p500_fast,500ms fast,on,500,1,64.0,138.149888
p500_fast,500ms fast,on,500,1,65.001,295.66491108891114
p500_fast,500ms fast,on,500,1,66.0,187.882986986987
p500_fast,500ms fast,on,500,1,67.0,313.786368
p500_fast,500ms fast,on,500,1,68.0,308.0192
p500_fast,500ms fast,on,500,1,69.0,359.399424
p500_fast,500ms fast,on,500,1,70.0,319.029248
p500_fast,500ms fast,on,500,1,71.0,242.745344
p500_fast,500ms fast,on,500,1,72.0,258.998272
p500_fast,500ms fast,on,500,1,73.0,299.106304
p500_fast,500ms fast,on,500,1,74.0,241.958912
p500_fast,500ms fast,on,500,1,75.002,280.4574530938123
p500_fast,500ms fast,on,500,1,76.0,209.61013226452906
p500_fast,500ms fast,on,500,1,77.0,292.552704
p500_fast,500ms fast,on,500,1,78.0,260.83328
p500_fast,500ms fast,on,500,1,79.0,314.048512
p500_fast,500ms fast,on,500,1,80.0,299.106304
p500_fast,500ms fast,on,500,1,81.0,303.824896
p500_fast,500ms fast,on,500,1,82.006,281.94811928429425
p500_fast,500ms fast,on,500,1,83.0,263.1989054325956
p500_fast,500ms fast,on,500,1,84.0,209.977344
p500_fast,500ms fast,on,500,1,85.0,271.581184
p500_fast,500ms fast,on,500,1,86.0,274.726912
p500_fast,500ms fast,on,500,1,87.0,257.949696
p500_fast,500ms fast,on,500,1,88.0,216.530944
p500_fast,500ms fast,on,500,1,89.0,297.271296
p500_fast,500ms fast,on,500,1,90.0,243.531776
p500_fast,500ms fast,on,500,1,91.0,314.310656
p500_fast,500ms fast,on,500,1,92.0,256.638976
p500_fast,500ms fast,on,500,1,93.0,323.223552
p500_fast,500ms fast,on,500,1,94.0,229.900288
p500_fast,500ms fast,on,500,1,95.0,297.009152
