placement,placement_label,candidate,policy,time_s,mops_s
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,158.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,159.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,160.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,161.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,162.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,163.001,64.68488311688313
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,164.0,64.02716316316317
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,165.0,66.322432
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,166.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,167.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,168.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,169.001,65.20864735264736
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,170.0,65.6016016016016
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,171.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,172.0,63.963136
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,173.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,174.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,175.001,64.16111888111888
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,176.0,65.3391951951952
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,177.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,178.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,179.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,180.001,65.20864735264736
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,181.0,64.28956956956958
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,182.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,183.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,184.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,185.001,64.423000999001
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,186.0,65.3391951951952
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,187.0,66.060288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,188.0,63.438848
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,189.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,190.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,191.0,66.060288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,192.0,63.963136
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,193.0,66.060288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,194.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,195.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,196.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,197.0,66.060288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,198.0,63.963136
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,199.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,200.001,65.20864735264736
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,1.0,308.281344
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,2.0,423.624704
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,3.0,220.20096
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,4.0,254.541824
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,5.0,229.638144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,6.001,246.95483716283718
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,7.0,312.52603003003003
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,8.0,351.535104
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,9.0,294.125568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,10.0,320.864256
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,11.0,254.017536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,12.0,288.096256
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,13.0,341.311488
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,14.0,335.282176
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,15.0,185.073664
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,16.0,164.626432
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,17.0,185.597952
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,18.0,210.501632
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,19.0,231.99744
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,20.0,238.288896
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,21.0,295.960576
